gene,chromosome,strand,tss
ENSG00000307737,chr14,+,29451822
RNU11-5P,chr14,+,29476783
PRKD1,chr14,-,30191898
ENSG00000257120,chr14,+,29652808
RNU6-1234P,chr14,+,29811915
ENSG00000287142,chr14,+,29928444
ENSG00000257904,chr14,+,29940744
ENSG00000248975,chr14,-,30297043
ENSG00000306661,chr14,-,30221295
ENSG00000306731,chr14,-,30378190
ENSG00000306760,chr14,-,30363511
ENSG00000306743,chr14,+,30363533
ENSG00000279032,chr14,+,30370107
G2E3-AS1,chr14,-,30577622
ENSG00000310208,chr14,+,30503450
ENSG00000278587,chr14,+,30519160
G2E3,chr14,+,30559157
ENSG00000301732,chr14,-,30672341
SCFD1,chr14,+,30622290
ENSG00000258558,chr14,-,30822702
ENSG00000299487,chr14,+,30811988
ENSG00000306259,chr14,-,30855888
COCH,chr14,+,30874513
ENSG00000258525,chr14,-,30889808
STRN3,chr14,-,31026401
ENSG00000295665,chr14,+,30897890
MIR624,chr14,-,31014742
AP4S1,chr14,+,31025105
HECTD1,chr14,-,31207804
RNU6-541P,chr14,+,31142938
ENSG00000257831,chr14,+,31248627
ENSG00000296926,chr14,-,31264206
HEATR5A,chr14,-,31420550
ENSG00000203546,chr14,-,31457441
HEATR5A-DT,chr14,+,31420139
DTD2,chr14,-,31457506
GPR33,chr14,-,31488039
NUBPL,chr14,+,31489955
NUBPL-DT,chr14,-,31561355
RNU6-602P,chr14,-,31662143
RNU6-455P,chr14,-,31686798
ENSG00000257472,chr14,-,31930146
ENSG00000296075,chr14,-,31945146
LINC02313,chr14,+,31944369
ENSG00000296057,chr14,-,31968450
ENSG00000296087,chr14,-,31965343
ENSG00000290393,chr14,+,31964549
ARHGAP5-AS1,chr14,-,32076861
ARHGAP5,chr14,+,32076113
ENSG00000285608,chr14,-,32158008
ENSG00000286527,chr14,-,32201995
RNU6-7,chr14,+,32202044
RNU6-8,chr14,-,32203269
ENSG00000294683,chr14,-,32336776
AKAP6,chr14,+,32329297
ENSG00000258580,chr14,-,32417974
ENSG00000294704,chr14,-,32433018
RN7SL660P,chr14,+,32442340
ENSG00000301652,chr14,-,32660489
ENSG00000293859,chr14,-,32693386
ENSG00000299896,chr14,-,32804441
ENSG00000302430,chr14,-,32860783
ENSG00000280281,chr14,+,32879245
ENSG00000289111,chr14,+,32932412
ENSG00000301678,chr14,-,32934668
NPAS3,chr14,+,32934395
ENSG00000310434,chr14,-,33227666
ENSG00000287153,chr14,-,33600989
ENSG00000287777,chr14,-,33682886
EGLN3,chr14,-,34462774
ENSG00000298099,chr14,+,33958873
EGLN3-AS1,chr14,+,34040096
ENSG00000308531,chr14,+,34061411
SPTSSA,chr14,-,34462240
EAPP,chr14,-,34539704
ENSG00000303346,chr14,+,34539736
ENSG00000279423,chr14,+,34541043
ENSG00000259002,chr14,-,34557282
ENSG00000259135,chr14,+,34545807
RNU1-27P,chr14,+,34546713
RNU1-28P,chr14,-,34556389
SNX6,chr14,-,34630160
ENSG00000305710,chr14,-,34700142
Metazoa_SRP,chr14,-,49913760
RNU6-1261P,chr14,+,34675890
CFL2,chr14,-,34714823
BAZ1A,chr14,-,34875647
RNU7-41P,chr14,-,34845360
BAZ1A-AS1,chr14,+,34874342
ENSG00000293497,chr14,-,34983340
SRP54,chr14,+,34981956
FAM177A1,chr14,+,35045116
ENSG00000301903,chr14,-,35046147
PPP2R3C,chr14,-,35122517
ENSG00000279434,chr14,+,35086034
PRORP,chr14,+,35121845
ENSG00000258790,chr14,+,35122548
PSMA6,chr14,+,35278632
ENSG00000309352,chr14,-,35339951
ENSG00000306097,chr14,+,35341773
ENSG00000295130,chr14,-,35353943
ENSG00000258860,chr14,-,35366297
ENSG00000299566,chr14,+,35374625
ENSG00000295095,chr14,-,35397763
NFKBIA,chr14,-,35404749
ENSG00000310246,chr14,+,35403146
ENSG00000310289,chr14,+,35404695
ENSG00000259017,chr14,-,35447625
ENSG00000310272,chr14,-,35533972
INSM2,chr14,+,35534163
RALGAPA1,chr14,-,35809304
ENSG00000253059,chr14,+,35756326
ENSG00000258938,chr14,-,35826765
BRMS1L,chr14,+,35826337
ENSG00000257272,chr14,+,35873856
LINC00609,chr14,+,35897883
ENSG00000257614,chr14,-,35950044
ENSG00000257826,chr14,-,36067190
PTCSC3,chr14,-,36217284
ENSG00000289098,chr14,+,36180938
RN7SKP21,chr14,-,36231774
ENSG00000295321,chr14,-,36273165
MBIP,chr14,-,36320637
ENSG00000283098,chr14,+,36320149
RNU7-93P,chr14,+,36405213
ENSG00000295280,chr14,-,36460832
SFTA3,chr14,-,36521149
NKX2-1,chr14,-,36521149
NKX2-1-AS1,chr14,+,36519277
NKX2-8,chr14,-,36582614
RN7SKP257,chr14,-,36594147
ENSG00000258661,chr14,-,36661386
PAX9,chr14,+,36657567
SLC25A21,chr14,-,37172606
ENSG00000296806,chr14,+,36685512
ENSG00000258690,chr14,+,36788643
ENSG00000258601,chr14,+,36808870
MIR4503,chr14,-,36952391
ENSG00000258827,chr14,-,37098563
SLC25A21-AS1,chr14,+,37171887
RNU6-273P,chr14,+,37187218
MIPOL1,chr14,+,37197893
ENSG00000289687,chr14,+,37258723
RNU6-886P,chr14,-,37434573
ENSG00000259087,chr14,-,37567095
ENSG00000303511,chr14,+,37584588
ENSG00000289903,chr14,-,37588764
ENSG00000297171,chr14,+,37587956
FOXA1,chr14,-,37596059
TTC6,chr14,+,37595628
ENSG00000200385,chr14,+,37720424
RNU6-1277P,chr14,-,37827904
LINC00517,chr14,-,37902372
ENSG00000258696,chr14,-,38004847
ENSG00000259048,chr14,-,38194281
ENSG00000295806,chr14,+,38065506
ENSG00000258649,chr14,+,38190955
ENSG00000295295,chr14,-,38209298
SSTR1,chr14,+,38207903
CLEC14A,chr14,-,38256093
ENSG00000259072,chr14,+,38255979
ENSG00000302525,chr14,-,38498139
ENSG00000299691,chr14,-,38617024
LINC00639,chr14,-,38948289
ENSG00000301186,chr14,-,38728709
ENSG00000301174,chr14,+,38866953
ENSG00000307769,chr14,-,39017676
SEC23A,chr14,-,39109646
SEC23A-AS1,chr14,+,39103139
ENSG00000299120,chr14,-,39114578
GEMIN2,chr14,+,39114284
TRAPPC6B,chr14,-,39170532
ENSG00000285830,chr14,+,39147832
PNN-AS1,chr14,-,39175880
PNN,chr14,+,39175182
ENSG00000298237,chr14,-,39217697
ENSG00000295711,chr14,+,39219277
MIA2,chr14,+,39230230
MIA2-AS1,chr14,-,39267113
FBXO33,chr14,-,39432466
ENSG00000258526,chr14,+,39432428
ENSG00000308593,chr14,-,39474760
ENSG00000309779,chr14,-,40216452
ENSG00000297162,chr14,-,40241747
ENSG00000286123,chr14,-,40348517
ENSG00000300734,chr14,-,40413696
ENSG00000300113,chr14,-,40577374
ENSG00000286099,chr14,+,40630005
LINC02315,chr14,+,40954414
ENSG00000302567,chr14,+,41345219
ENSG00000279972,chr14,-,41515350
LRFN5-DT,chr14,-,41605992
ENSG00000251858,chr14,+,41594462
ENSG00000297163,chr14,+,41594476
ENSG00000289436,chr14,+,41604735
LRFN5,chr14,+,41606875
ENSG00000307744,chr14,+,41911232
ENSG00000308329,chr14,-,42019233
ENSG00000308787,chr14,+,42113912
ENSG00000259149,chr14,-,42268704
ENSG00000258394,chr14,+,42362982
ENSG00000258850,chr14,+,42412572
ENSG00000294477,chr14,-,42481858
ENSG00000295540,chr14,-,42980424
ENSG00000304974,chr14,-,43651610
ENSG00000304991,chr14,+,43300726
ENSG00000286464,chr14,+,43308647
ENSG00000296012,chr14,-,43812349
LINC02307,chr14,-,44386064
ENSG00000308131,chr14,+,44122130
ENSG00000308145,chr14,+,44130464
LINC02277,chr14,-,44648997
FSCB,chr14,-,44507283
ENSG00000258747,chr14,+,44507327
RRAGAP1-AS1,chr14,-,44912632
C14orf28,chr14,+,44897274
KLHL28,chr14,-,45042322
TOGARAM1,chr14,+,44962189
ENSG00000278147,chr14,+,45079848
PRPF39-DT,chr14,-,45084010
PRPF39,chr14,+,45084106
SNORD58,chr14,+,45088242
SNORD127,chr14,+,45110882
FKBP3,chr14,-,45135319
FANCM,chr14,+,45135929
MIS18BP1,chr14,-,45253540
ENSG00000301115,chr14,+,45253611
RNU6-552P,chr14,-,45274477
ENSG00000260046,chr14,+,45369214
ENSG00000300896,chr14,-,45400695
ENSG00000257900,chr14,+,45377267
ENSG00000258845,chr14,+,45567994
ENSG00000309007,chr14,+,45626370
LINC02303,chr14,-,45715952
LINC00871,chr14,+,45891086
ENSG00000299534,chr14,-,46063988
ENSG00000305984,chr14,-,46581855
ENSG00000306004,chr14,+,46578549
ENSG00000304903,chr14,-,46734432
RPL10L,chr14,-,46651781
MDGA2,chr14,-,47675605
ENSG00000295956,chr14,+,46844982
ENSG00000251735,chr14,+,46960422
ENSG00000306832,chr14,+,47104572
ENSG00000304345,chr14,+,47676181
LINC00648,chr14,-,47901681
MIR548Y,chr14,-,47761104
ENSG00000286595,chr14,+,48194092
ENSG00000289195,chr14,-,48274882
ENSG00000258751,chr14,-,48491767
RNU6-297P,chr14,-,48341332
ENSG00000303665,chr14,-,48788932
ENSG00000297710,chr14,+,49051574
ENSG00000258868,chr14,-,49077505
ENSG00000303133,chr14,-,49554022
ENSG00000303153,chr14,+,49550444
RPS29,chr14,-,49599164
ENSG00000303162,chr14,+,49586433
RN7SL1,chr14,+,49586579
LRR1,chr14,+,49598760
RPL36AL,chr14,-,49620626
ENSG00000258377,chr14,-,49623480
MGAT2,chr14,+,49620798
DNAAF2,chr14,-,49635244
ENSG00000258450,chr14,-,49629890
POLE2,chr14,-,49688422
RNU6ATAC30P,chr14,+,49684543
KLHDC1,chr14,+,49693104
ENSG00000258400,chr14,-,49708792
KLHDC2,chr14,+,49768129
NEMF,chr14,-,49852821
RNU6-539P,chr14,+,49839724
RN7SL3,chr14,-,49853914
ENSG00000282885,chr14,-,49868199
RN7SL2,chr14,-,49862849
ENSG00000278002,chr14,+,49862968
ENSG00000303690,chr14,+,49868255
ARF6,chr14,+,49893078
RNU6-189P,chr14,-,49901950
LINC01588,chr14,-,50105121
ENSG00000300197,chr14,+,49936505
ENSG00000300168,chr14,+,49965436
MIR6076,chr14,+,49966398
ENSG00000300253,chr14,+,50003530
ENSG00000300221,chr14,+,50007187
ENSG00000300281,chr14,+,50061866
RN7SKP193,chr14,+,50068567
VCPKMT,chr14,-,50116600
SOS2,chr14,-,50231578
ENSG00000308262,chr14,-,50130500
L2HGDH,chr14,-,50312229
MIR4504,chr14,-,50299946
DMAC2L,chr14,+,50312323
CDKL1,chr14,-,50416461
ENSG00000259071,chr14,-,50327909
ENSG00000258857,chr14,+,50396309
MAP4K5,chr14,-,50561126
ENSG00000259113,chr14,+,50448806
ATL1,chr14,+,50532508
SAV1,chr14,-,50668306
RN7SL452P,chr14,-,50637981
ENSG00000269906,chr14,-,50663178
ENSG00000289866,chr14,+,50668404
NIN,chr14,-,50831162
ENSG00000270062,chr14,-,50724272
ENSG00000288855,chr14,-,50737517
ENSG00000258843,chr14,+,50821769
ENSG00000285747,chr14,+,50831961
ENSG00000252945,chr14,+,50844624
ENSG00000258687,chr14,+,50848121
PYGL,chr14,-,50944483
ABHD12B,chr14,+,50872052
ENSG00000258745,chr14,+,50912225
ENSG00000294759,chr14,+,50944539
ENSG00000258711,chr14,-,50974384
TRIM9,chr14,-,51096061
ENSG00000287990,chr14,+,51022966
ENSG00000259055,chr14,+,51088956
ENSG00000304191,chr14,-,51240164
TMX1,chr14,+,51240161
SNORA70,chr14,+,51244089
LINC00519,chr14,-,51331955
LINC00640,chr14,+,51326940
ENSG00000258942,chr14,-,51385603
FRMD6-AS2,chr14,-,51651744
ENSG00000296920,chr14,+,51395604
FRMD6,chr14,+,51489099
RNU6-1291P,chr14,+,51522863
RNU6-301P,chr14,+,51724102
ENSG00000296533,chr14,-,51743789
ENSG00000259111,chr14,+,51750559
ENSG00000293790,chr14,-,51780265
ENSG00000258535,chr14,+,51765275
ENSG00000293813,chr14,-,51776430
ENSG00000299087,chr14,-,51855816
GNG2,chr14,+,51826194
ENSG00000299112,chr14,-,51844363
ENSG00000258928,chr14,-,51918571
ENSG00000259007,chr14,-,51969800
ENSG00000258854,chr14,-,51987219
RTRAF,chr14,+,51989513
NID2,chr14,-,52069059
LINC02319,chr14,-,52129852
ENSG00000294890,chr14,+,52123068
ENSG00000308586,chr14,-,52267578
PTGDR,chr14,+,52267697
ENSG00000289424,chr14,-,52315491
PTGER2,chr14,+,52314304
ENSG00000306058,chr14,+,52351414
TXNDC16,chr14,-,52552547
GPR137C,chr14,+,52552835
ERO1A,chr14,-,52695900
ENSG00000258757,chr14,+,52640838
PSMC6,chr14,+,52707177
STYX,chr14,+,52730165
GNPNAT1,chr14,-,52791668
ENSG00000259049,chr14,+,52775236
ENSG00000285664,chr14,+,52791755
ENSG00000258698,chr14,-,52820034
FERMT2,chr14,-,52952435
ENSG00000288045,chr14,+,52951431
DDHD1,chr14,-,53153323
ENSG00000258985,chr14,+,53036754
ENSG00000301869,chr14,+,53076309
DDHD1-DT,chr14,+,53152281
ENSG00000286730,chr14,-,53392048
ENSG00000295341,chr14,-,53501622
ENSG00000225680,chr14,-,53616707
LINC02331,chr14,-,53850897
ENSG00000295303,chr14,-,53943630
MIR5580,chr14,-,53948484
BMP4,chr14,-,53958761
ENSG00000287156,chr14,+,53954670
ENSG00000297427,chr14,-,54192540
ENSG00000297446,chr14,+,54114788
ENSG00000300202,chr14,-,54396774
ENSG00000300222,chr14,+,54349476
CDKN3,chr14,+,54396848
CNIH1,chr14,-,54441391
ENSG00000306082,chr14,+,54444041
ENSG00000258753,chr14,+,54470708
GMFB,chr14,-,54489025
CGRRF1,chr14,+,54509811
SAMD4A,chr14,+,54566116
ENSG00000307190,chr14,-,54568386
ENSG00000295290,chr14,-,54653190
SAMD4A-AS1,chr14,-,54729339
GCH1,chr14,-,54902826
RNU6ATAC9P,chr14,+,54859214
MIR4308,chr14,-,54878193
ENSG00000304580,chr14,-,54902141
ENSG00000305238,chr14,-,54916262
WDHD1,chr14,-,55027105
SOCS4,chr14,+,55027229
ENSG00000307927,chr14,-,55103366
MAPK1IP1L,chr14,+,55051646
ENSG00000289523,chr14,+,55064002
ENSG00000304907,chr14,+,55122914
LGALS3,chr14,+,55124109
DLGAP5,chr14,-,55191608
ENSG00000293989,chr14,+,55191715
ENSG00000258050,chr14,-,55199013
ENSG00000299807,chr14,-,55240287
ENSG00000299791,chr14,-,55255155
FBXO34-AS1,chr14,-,55272078
FBXO34,chr14,+,55271343
Metazoa_SRP,chr14,+,55285226
ENSG00000258455,chr14,-,55339501
ATG14,chr14,-,55411830
TBPL2,chr14,-,55456726
ENSG00000300954,chr14,+,55454912
KTN1-AS1,chr14,-,55581068
KTN1,chr14,+,55559071
ENSG00000296983,chr14,+,55580474
ENSG00000258784,chr14,+,55748207
RPL13AP3,chr14,+,55766244
LINC00520,chr14,-,55796731
ENSG00000259868,chr14,+,55803307
ENSG00000295346,chr14,+,55840241
ENSG00000295328,chr14,-,55927223
ENSG00000277763,chr14,-,56118090
PELI2,chr14,+,56117813
ENSG00000259483,chr14,-,56313442
ENSG00000275569,chr14,+,56305837
LINC02284,chr14,+,56310879
TMEM260,chr14,+,56488353
ENSG00000308942,chr14,+,56494611
ENSG00000258803,chr14,+,56514330
ENSG00000258428,chr14,-,56648773
ENSG00000259133,chr14,-,56797583
ENSG00000258703,chr14,+,56759378
ENSG00000300682,chr14,+,56794552
OTX2,chr14,-,56816693
OTX2-AS1,chr14,+,56813182
ENSG00000258776,chr14,-,56893710
RN7SL461P,chr14,-,56824656
RNU6-1204P,chr14,+,56824985
ENSG00000286257,chr14,-,57060804
LINC03059,chr14,-,57112685
ENSG00000307333,chr14,-,57189153
EXOC5,chr14,-,57268905
AP5M1,chr14,+,57268923
ENSG00000286355,chr14,-,57390761
ENSG00000259008,chr14,+,57355445
NAA30,chr14,+,57390543
CCDC198,chr14,-,57493867
ENSG00000303502,chr14,+,57503608
SLC35F4,chr14,-,57982194
ENSG00000259039,chr14,+,57578408
ENSG00000293009,chr14,+,57629840
RN7SKP99,chr14,-,57837660
ENSG00000259969,chr14,-,57994525
ENSG00000306262,chr14,+,57999718
ARMH4,chr14,-,58298139
ENSG00000309368,chr14,+,58157907
RN7SL598P,chr14,+,58179770
ACTR10,chr14,+,58200079
ENSG00000302546,chr14,-,58244691
PSMA3,chr14,+,58244842
ENSG00000258682,chr14,+,58264661
PSMA3-AS1,chr14,-,58298641
ENSG00000302510,chr14,+,58272523
LINC00216,chr14,+,58288032
RNU6-341P,chr14,-,58292388
ARID4A,chr14,+,58298503
TOMM20L-DT,chr14,-,58395843
TOMM20L,chr14,+,58395927
ENSG00000258378,chr14,+,58398556
TIMM9,chr14,-,58427531
KIAA0586,chr14,+,58427384
DACT1,chr14,+,58633966
LINC01500,chr14,+,58646630
ENSG00000301175,chr14,-,58864131
ENSG00000301219,chr14,+,58748424
ENSG00000301187,chr14,-,58796349
ENSG00000301202,chr14,-,59081827
ENSG00000296245,chr14,-,59188460
ENSG00000296267,chr14,+,59187982
DAAM1,chr14,+,59188645
ENSG00000296230,chr14,-,59197931
ENSG00000296970,chr14,+,59417918
GPR135,chr14,-,59465380
L3HYPDH,chr14,-,59484408
ENSG00000258782,chr14,-,59525437
JKAMP,chr14,+,59484442
CCDC175,chr14,-,59576812
RTN1,chr14,-,59870776
MIR5586,chr14,-,59647020
PCNX4-DT,chr14,-,60091891
LRRC9,chr14,+,59919712
PCNX4,chr14,+,60091910
DHRS7,chr14,-,60169856
ENSG00000303107,chr14,-,60210646
ENSG00000254718,chr14,-,60248985
PPM1A,chr14,+,60245751
LINC02322,chr14,+,60304689
ENSG00000296765,chr14,-,60348334
C14orf39,chr14,-,60515543
SIX6,chr14,+,60509145
ENSG00000258670,chr14,+,60515103
ENSG00000307639,chr14,-,60642614
SALRNA1,chr14,+,60639215
SIX1,chr14,-,60658259
ENSG00000306271,chr14,+,60688713
SIX4,chr14,-,60724351
MNAT1,chr14,+,60734741
ENSG00000258892,chr14,+,60879713
TRMT5,chr14,-,60981170
RNU6-398P,chr14,+,60974326
SLC38A6,chr14,+,60981113
ENSG00000307460,chr14,-,61049584
ENSG00000296081,chr14,+,61147700
ENSG00000305570,chr14,+,61166055
ENSG00000301825,chr14,-,61189125
PRKCH,chr14,+,61187558
TMEM30B,chr14,-,61281761
PRKCH-AS1,chr14,-,61322838
ENSG00000308763,chr14,-,61525791
ENSG00000258989,chr14,+,61529127
ENSG00000258926,chr14,-,61545484
LINC01303,chr14,-,61618974
LINC03033,chr14,+,61570404
HIF1A-AS3,chr14,-,61751163
HIF1A,chr14,+,61695512
ENSG00000288928,chr14,+,61711206
ENSG00000258964,chr14,+,61734137
SNAPC1,chr14,+,61762419
ENSG00000279633,chr14,+,61801712
SYT16,chr14,+,61811973
ENSG00000299618,chr14,-,61972909
ENSG00000258842,chr14,-,62081154
ENSG00000289503,chr14,+,62075339
ENSG00000258903,chr14,-,62118032
ENSG00000293464,chr14,+,62116855
ENSG00000288802,chr14,+,62131153
LINC00644,chr14,-,62140011
ENSG00000296937,chr14,+,62314237
ENSG00000296961,chr14,-,62571811
KCNH5,chr14,-,63102037
ENSG00000259093,chr14,-,63178855
ENSG00000296192,chr14,+,63178245
RHOJ,chr14,+,63204113
ENSG00000258943,chr14,-,63299547
GPHB5,chr14,-,63318935
PPP2R5E,chr14,-,63543377
ENSG00000252800,chr14,+,63479271
ENSG00000305875,chr14,+,63492926
ENSG00000261242,chr14,+,63543559
WDR89,chr14,-,63641871
ENSG00000258800,chr14,+,63598873
RNU6-597P,chr14,+,63618042
RNU6-1162P,chr14,+,63630677
ENSG00000274015,chr14,+,63641744
U3,chr14,-,101145695
SGPP1,chr14,-,63728065
RNU7-116P,chr14,+,63736443
ENSG00000300158,chr14,-,63759869
SYNE2,chr14,+,63761898
ENSG00000306681,chr14,-,63852898
ENSG00000300297,chr14,-,64038822
ESR2,chr14,-,64338112
MIR548H1,chr14,-,64095125
ENSG00000214770,chr14,-,64338639
ENSG00000293482,chr14,-,64388287
ENSG00000284664,chr14,-,64352284
MTHFD1,chr14,+,64388030
ENSG00000258824,chr14,-,64448557
ENSG00000272909,chr14,-,64442238
ZBTB25,chr14,-,64505213
AKAP5,chr14,+,64465498
ZBTB1,chr14,+,64503711
HSPA2-AS1,chr14,-,64540369
HSPA2,chr14,+,64535904
PPP1R36,chr14,+,64549919
ENSG00000259076,chr14,-,64596536
ENSG00000289290,chr14,+,64703224
ENSG00000307209,chr14,-,64704843
PLEKHG3,chr14,+,64704101
SPTB,chr14,-,64879907
MIR7855,chr14,-,64785686
ENSG00000288779,chr14,+,64880136
ENSG00000303859,chr14,-,64915019
RPPH1-2P,chr14,-,64909780
CHURC1,chr14,+,64914360
CHURC1-FNTB,chr14,+,64914484
GPX2,chr14,-,64942746
RAB15,chr14,-,64973226
ENSG00000293955,chr14,-,64987127
FNTB,chr14,+,64986894
ENSG00000272158,chr14,-,65003767
MAX,chr14,-,65102695
MIR4706,chr14,+,65044687
ENSG00000259118,chr14,+,65082033
ENSG00000309897,chr14,+,65102803
RNU2-14P,chr14,-,65124542
ENSG00000309915,chr14,-,65138082
LINC02324,chr14,-,65222600
ENSG00000309930,chr14,+,65203022
ENSG00000258760,chr14,-,65318790
ENSG00000305690,chr14,+,65261371
ENSG00000302621,chr14,+,65287976
ENSG00000302635,chr14,+,65302253
MIR4708,chr14,-,65335183
ENSG00000300981,chr14,-,65413710
FUT8,chr14,+,65410591
FUT8-AS1,chr14,-,65412690
MIR625,chr14,+,65471101
ENSG00000301842,chr14,-,65838772
ENSG00000258847,chr14,-,66174567
ENSG00000277651,chr14,-,65987447
ENSG00000300987,chr14,+,66013291
LINC02290,chr14,+,66111556
ENSG00000258561,chr14,-,66509394
ENSG00000287833,chr14,+,66248810
CCDC196,chr14,+,66411703
GPHN,chr14,+,66507406
ENSG00000289208,chr14,+,66932447
ENSG00000258490,chr14,-,66969816
ENSG00000307479,chr14,-,67189332
GARIN2,chr14,+,67189392
PALS1,chr14,+,67240712
ENSG00000286319,chr14,-,67294073
ATP6V1D,chr14,-,67360265
EIF2S1,chr14,+,67360327
PLEK2,chr14,-,67412167
ENSG00000297881,chr14,-,67428844
ENSG00000297909,chr14,-,67414545
MIR5694,chr14,-,67441930
TMEM229B,chr14,-,67533739
PLEKHH1,chr14,+,67533289
PIGH,chr14,-,67600286
ENSG00000293198,chr14,+,67614928
ARG2,chr14,+,67619919
ENSG00000286861,chr14,-,67639675
VTI1B,chr14,-,67674820
ENSG00000258466,chr14,-,67690367
RDH11,chr14,-,67695793
RDH12,chr14,+,67701885
RN7SL369P,chr14,+,67705953
ZFYVE26,chr14,-,67816590
RN7SL213P,chr14,-,67751544
RAD51B,chr14,+,67819778
ENSG00000258837,chr14,-,68130196
RN7SL706P,chr14,-,68149908
RN7SL108P,chr14,-,68236539
ENSG00000306173,chr14,-,68565250
ENSG00000287385,chr14,-,68611732
ENSG00000306917,chr14,+,68612941
ENSG00000258623,chr14,-,68685565
ENSG00000297671,chr14,+,68687535
ENSG00000287167,chr14,-,68695734
ENSG00000287913,chr14,+,68731233
ENSG00000304744,chr14,-,68734409
RNU6-921P,chr14,-,68736028
ENSG00000289583,chr14,-,68787379
ENSG00000300053,chr14,+,68758561
ZFP36L1,chr14,-,68796253
ENSG00000289626,chr14,-,68795250
ENSG00000301622,chr14,-,68816449
ACTN1,chr14,-,68979440
ACTN1-DT,chr14,+,68978861
DCAF5,chr14,-,69153150
ENSG00000289180,chr14,+,69069290
ENSG00000276063,chr14,+,69154310
GALNT16-AS1,chr14,-,69214092
EXD2,chr14,+,69191497
ENSG00000258520,chr14,-,69260567
GALNT16,chr14,+,69259276
ENSG00000280073,chr14,+,69357009
ERH,chr14,-,69398299
SLC39A9,chr14,+,69398014
ENSG00000286424,chr14,-,69483714
PLEKHD1,chr14,+,69484691
ENSG00000303604,chr14,+,69547639
CCDC177,chr14,-,69574871
ENSG00000287310,chr14,-,69611490
SUSD6,chr14,+,69611595
ENSG00000273797,chr14,+,69617121
SRSF5,chr14,+,69726899
SLC10A1,chr14,-,69797241
ENSG00000221060,chr14,-,69804331
ENSG00000299273,chr14,+,69811626
SMOC1,chr14,+,69854130
ENSG00000308116,chr14,-,69877116
SLC8A3,chr14,-,70189480
ENSG00000258422,chr14,+,70187121
ADAM21P1,chr14,-,70247801
ENSG00000259033,chr14,+,70255628
ENSG00000308756,chr14,-,70257873
COX16,chr14,-,70416984
SYNJ2BP-COX16,chr14,-,70417074
RNU2-51P,chr14,+,70360891
SYNJ2BP,chr14,-,70417090
ADAM21,chr14,+,70417106
ENSG00000257759,chr14,-,70547464
ADAM20P1,chr14,-,70483775
RNU6-659P,chr14,+,70496106
ENSG00000293824,chr14,-,70555915
ADAM20,chr14,-,70535015
ENSG00000293851,chr14,+,70535094
MED6,chr14,-,70600690
ENSG00000259115,chr14,-,70641204
TTC9-DT,chr14,-,70641298
RN7SL77P,chr14,+,70610085
TTC9,chr14,+,70641915
ENSG00000304105,chr14,-,70710167
LINC01269,chr14,+,70697947
ENSG00000304150,chr14,-,70718499
MAP3K9,chr14,-,70809534
MAP3K9-DT,chr14,+,70808810
ENSG00000304372,chr14,-,70822870
ENSG00000275630,chr14,+,70821714
ENSG00000274818,chr14,-,70907111
PCNX1,chr14,+,70907404
ENSG00000287643,chr14,-,70959029
ENSG00000286423,chr14,-,71254354
ENSG00000309299,chr14,+,71124518
ENSG00000309314,chr14,-,71139698
ENSG00000259907,chr14,+,71181421
ENSG00000258517,chr14,+,71212632
ENSG00000269945,chr14,+,71219099
ENSG00000309328,chr14,+,71231940
SIPA1L1-AS1,chr14,-,71321892
SIPA1L1,chr14,+,71320448
SNORD56B,chr14,+,71398336
RN7SL683P,chr14,+,71448688
ENSG00000303546,chr14,-,71492027
ENSG00000285612,chr14,-,71590354
ENSG00000285518,chr14,-,71739794
ENSG00000302484,chr14,+,71752804
ENSG00000266869,chr14,+,71848437
RGS6,chr14,+,71932428
ENSG00000306522,chr14,-,72164664
ENSG00000286333,chr14,-,72544622
MIR7843,chr14,+,72516819
ENSG00000258871,chr14,-,72595125
DPF3,chr14,-,72894101
ENSG00000298073,chr14,+,72665658
ENSG00000285936,chr14,+,72701761
ENSG00000298836,chr14,+,72894255
ENSG00000303147,chr14,+,72901513
DCAF4,chr14,+,72926376
ZFYVE1,chr14,-,73027131
RBM25-AS1,chr14,-,73059453
RN7SL586P,chr14,-,73040914
RBM25,chr14,+,73058531
PSEN1,chr14,+,73136417
ENSG00000309481,chr14,+,73228282
PAPLN,chr14,+,73237496
PAPLN-AS1,chr14,-,73246018
RNU6-419P,chr14,-,73246880
ENSG00000258944,chr14,-,73274081
NUMB,chr14,-,73466167
ENSG00000251393,chr14,+,73462361
ENSG00000308948,chr14,-,73465956
HEATR4,chr14,-,73558947
RIOX1,chr14,+,73490932
ENSG00000258443,chr14,-,73520648
ENSG00000258695,chr14,+,73522877
ACOT1,chr14,+,73537142
ENSG00000299171,chr14,-,73543160
ENSG00000258603,chr14,-,73634454
ACOT2,chr14,+,73567619
ENSG00000279026,chr14,+,73580693
ACOT4,chr14,+,73591872
ENSG00000288797,chr14,+,73592138
ACOT6,chr14,+,73610944
DNAL1,chr14,+,73644874
RNU6-240P,chr14,-,73659660
ENSG00000258660,chr14,-,73700351
PNMA1,chr14,-,73714384
MIDEAS,chr14,-,73790285
ENSG00000297421,chr14,+,73740835
MIR4505,chr14,+,73758746
MIDEAS-AS1,chr14,+,73787349
LINC02274,chr14,-,73830135
